protein	locus	connectivity
ENSMUSP00000052177	ENSMUSG00000030556	1
ENSMUSP00000117496	ENSMUSG00000030557	60
ENSMUSP00000102877	ENSMUSG00000030559	11
ENSMUSP00000032779	ENSMUSG00000030560	24
ENSMUSP00000046414	ENSMUSG00000030562	48
ENSMUSP00000103760	ENSMUSG00000030577	63
ENSMUSP00000032800	ENSMUSG00000030579	120
ENSMUSP00000103866	ENSMUSG00000030584	24
ENSMUSP00000032808	ENSMUSG00000030587	7
ENSMUSP00000032810	ENSMUSG00000030589	42
ENSMUSP00000051657	ENSMUSG00000030591	86
ENSMUSP00000032813	ENSMUSG00000030592	77
ENSMUSP00000032815	ENSMUSG00000030595	63
ENSMUSP00000103923	ENSMUSG00000030600	4
ENSMUSP00000103918	ENSMUSG00000030602	48
ENSMUSP00000032824	ENSMUSG00000030603	58
ENSMUSP00000032835	ENSMUSG00000030607	95
ENSMUSP00000032839	ENSMUSG00000030610	15
ENSMUSP00000032840	ENSMUSG00000030611	48
ENSMUSP00000032841	ENSMUSG00000030612	3
ENSMUSP00000032842	ENSMUSG00000030613	1
ENSMUSP00000032843	ENSMUSG00000030614	4
ENSMUSP00000032844	ENSMUSG00000030615	53
ENSMUSP00000095912	ENSMUSG00000030616	25
ENSMUSP00000032850	ENSMUSG00000030619	87
ENSMUSP00000032856	ENSMUSG00000030621	26
ENSMUSP00000069228	ENSMUSG00000030629	4
ENSMUSP00000032865	ENSMUSG00000030630	21
ENSMUSP00000032874	ENSMUSG00000030638	42
ENSMUSP00000102798	ENSMUSG00000030643	8
ENSMUSP00000032882	ENSMUSG00000030647	50
ENSMUSP00000065658	ENSMUSG00000030651	3
ENSMUSP00000095695	ENSMUSG00000030652	50
ENSMUSP00000095842	ENSMUSG00000030653	69
ENSMUSP00000032888	ENSMUSG00000030654	6
ENSMUSP00000032891	ENSMUSG00000030655	60
ENSMUSP00000032892	ENSMUSG00000030657	3
ENSMUSP00000032895	ENSMUSG00000030659	10
ENSMUSP00000081710	ENSMUSG00000030660	57
ENSMUSP00000032898	ENSMUSG00000030662	27
ENSMUSP00000032899	ENSMUSG00000030663	68
ENSMUSP00000032902	ENSMUSG00000030666	9
ENSMUSP00000032907	ENSMUSG00000030669	52
ENSMUSP00000032908	ENSMUSG00000030670	6
ENSMUSP00000032909	ENSMUSG00000030671	74
ENSMUSP00000032910	ENSMUSG00000030672	52
ENSMUSP00000032912	ENSMUSG00000030674	53
ENSMUSP00000032915	ENSMUSG00000030677	126
ENSMUSP00000032916	ENSMUSG00000030678	24
ENSMUSP00000032918	ENSMUSG00000030680	27
ENSMUSP00000032919	ENSMUSG00000030681	51
ENSMUSP00000032920	ENSMUSG00000030682	70
ENSMUSP00000032924	ENSMUSG00000030685	3
ENSMUSP00000032927	ENSMUSG00000030688	1
ENSMUSP00000101950	ENSMUSG00000030689	1
ENSMUSP00000032931	ENSMUSG00000030691	10
ENSMUSP00000014058	ENSMUSG00000030693	8
ENSMUSP00000084846	ENSMUSG00000030695	72
ENSMUSP00000079022	ENSMUSG00000030695	1
ENSMUSP00000077687	ENSMUSG00000030695	4
ENSMUSP00000032936	ENSMUSG00000030697	19
ENSMUSP00000073254	ENSMUSG00000030699	32
ENSMUSP00000078175	ENSMUSG00000030701	18
ENSMUSP00000095852	ENSMUSG00000030704	39
ENSMUSP00000116090	ENSMUSG00000030706	1
ENSMUSP00000032949	ENSMUSG00000030707	27
ENSMUSP00000059074	ENSMUSG00000030708	1
ENSMUSP00000075321	ENSMUSG00000030711	70
ENSMUSP00000032955	ENSMUSG00000030713	16
ENSMUSP00000032956	ENSMUSG00000030714	15
ENSMUSP00000032961	ENSMUSG00000030717	37
ENSMUSP00000032963	ENSMUSG00000030718	4
ENSMUSP00000081636	ENSMUSG00000030720	22
ENSMUSP00000075094	ENSMUSG00000030722	6
ENSMUSP00000032968	ENSMUSG00000030724	132
ENSMUSP00000032967	ENSMUSG00000030725	26
ENSMUSP00000102694	ENSMUSG00000030726	53
ENSMUSP00000102015	ENSMUSG00000030727	24
ENSMUSP00000081998	ENSMUSG00000030729	15
ENSMUSP00000032974	ENSMUSG00000030730	37
ENSMUSP00000114070	ENSMUSG00000030731	14
ENSMUSP00000102699	ENSMUSG00000030732	23
ENSMUSP00000095657	ENSMUSG00000030733	51
ENSMUSP00000102703	ENSMUSG00000030737	2
ENSMUSP00000032992	ENSMUSG00000030738	55
ENSMUSP00000046059	ENSMUSG00000030739	47
ENSMUSP00000032997	ENSMUSG00000030742	115
ENSMUSP00000032998	ENSMUSG00000030744	308
ENSMUSP00000033000	ENSMUSG00000030745	55
ENSMUSP00000033001	ENSMUSG00000030747	59
ENSMUSP00000033004	ENSMUSG00000030748	86
ENSMUSP00000033006	ENSMUSG00000030750	6
ENSMUSP00000033008	ENSMUSG00000030751	104
ENSMUSP00000033010	ENSMUSG00000030752	1
ENSMUSP00000033009	ENSMUSG00000030753	5
ENSMUSP00000033012	ENSMUSG00000030754	45
ENSMUSP00000064334	ENSMUSG00000030759	11
ENSMUSP00000033020	ENSMUSG00000030760	12
ENSMUSP00000102745	ENSMUSG00000030761	45
ENSMUSP00000033023	ENSMUSG00000030762	5
ENSMUSP00000033025	ENSMUSG00000030763	4
ENSMUSP00000102050	ENSMUSG00000030766	35
ENSMUSP00000003035	ENSMUSG00000030768	24
ENSMUSP00000033035	ENSMUSG00000030769	1
ENSMUSP00000102254	ENSMUSG00000030770	31
ENSMUSP00000033036	ENSMUSG00000030772	49
ENSMUSP00000033040	ENSMUSG00000030774	38
ENSMUSP00000097302	ENSMUSG00000030775	64
ENSMUSP00000049528	ENSMUSG00000030779	25
ENSMUSP00000033044	ENSMUSG00000030780	2
ENSMUSP00000112597	ENSMUSG00000030781	8
ENSMUSP00000033046	ENSMUSG00000030782	21
ENSMUSP00000033049	ENSMUSG00000030785	24
ENSMUSP00000095625	ENSMUSG00000030786	78
ENSMUSP00000033050	ENSMUSG00000030787	15
ENSMUSP00000033052	ENSMUSG00000030788	15
ENSMUSP00000033053	ENSMUSG00000030789	103
ENSMUSP00000033054	ENSMUSG00000030790	47
ENSMUSP00000033057	ENSMUSG00000030792	31
ENSMUSP00000033056	ENSMUSG00000030793	45
ENSMUSP00000101858	ENSMUSG00000030795	44
ENSMUSP00000103431	ENSMUSG00000030796	165
ENSMUSP00000033063	ENSMUSG00000030798	11
ENSMUSP00000095626	ENSMUSG00000030800	13
ENSMUSP00000033070	ENSMUSG00000030801	72
ENSMUSP00000070345	ENSMUSG00000030802	1
ENSMUSP00000033074	ENSMUSG00000030804	9
ENSMUSP00000112927	ENSMUSG00000030805	32
ENSMUSP00000101874	ENSMUSG00000030806	15
ENSMUSP00000033081	ENSMUSG00000030811	6
ENSMUSP00000057937	ENSMUSG00000030814	13
ENSMUSP00000033086	ENSMUSG00000030815	21
ENSMUSP00000033095	ENSMUSG00000030822	1
ENSMUSP00000033096	ENSMUSG00000030824	11
ENSMUSP00000103381	ENSMUSG00000030825	3
ENSMUSP00000033098	ENSMUSG00000030826	16
ENSMUSP00000033099	ENSMUSG00000030827	35
ENSMUSP00000113396	ENSMUSG00000030830	72
ENSMUSP00000002850	ENSMUSG00000030834	31
ENSMUSP00000033121	ENSMUSG00000030835	9
ENSMUSP00000009667	ENSMUSG00000030838	59
ENSMUSP00000033127	ENSMUSG00000030839	5
ENSMUSP00000033131	ENSMUSG00000030842	12
ENSMUSP00000033133	ENSMUSG00000030844	36
ENSMUSP00000101833	ENSMUSG00000030846	26
ENSMUSP00000033136	ENSMUSG00000030847	36
ENSMUSP00000112430	ENSMUSG00000030849	127
ENSMUSP00000033139	ENSMUSG00000030850	14
ENSMUSP00000014545	ENSMUSG00000030851	39
ENSMUSP00000081561	ENSMUSG00000030852	11
ENSMUSP00000099686	ENSMUSG00000030854	11
ENSMUSP00000113948	ENSMUSG00000030861	14
ENSMUSP00000033152	ENSMUSG00000030865	55
ENSMUSP00000033153	ENSMUSG00000030866	41
ENSMUSP00000033154	ENSMUSG00000030867	238
ENSMUSP00000033156	ENSMUSG00000030868	11
ENSMUSP00000116177	ENSMUSG00000030869	147
ENSMUSP00000033159	ENSMUSG00000030871	48
ENSMUSP00000033160	ENSMUSG00000030872	16
ENSMUSP00000033161	ENSMUSG00000030873	23
ENSMUSP00000033163	ENSMUSG00000030876	3
ENSMUSP00000033169	ENSMUSG00000030878	33
ENSMUSP00000117971	ENSMUSG00000030879	77
ENSMUSP00000033173	ENSMUSG00000030880	48
ENSMUSP00000120387	ENSMUSG00000030881	11
ENSMUSP00000121261	ENSMUSG00000030882	2
ENSMUSP00000033176	ENSMUSG00000030884	99
ENSMUSP00000095752	ENSMUSG00000030888	2
ENSMUSP00000033182	ENSMUSG00000030890	73
ENSMUSP00000033184	ENSMUSG00000030894	61
ENSMUSP00000033185	ENSMUSG00000030895	62
ENSMUSP00000033187	ENSMUSG00000030897	15
ENSMUSP00000033189	ENSMUSG00000030898	25
ENSMUSP00000033198	ENSMUSG00000030905	45
ENSMUSP00000033207	ENSMUSG00000030911	25
ENSMUSP00000033210	ENSMUSG00000030917	2
ENSMUSP00000076189	ENSMUSG00000030921	36
ENSMUSP00000076682	ENSMUSG00000030930	4
ENSMUSP00000081544	ENSMUSG00000030934	48
ENSMUSP00000102139	ENSMUSG00000030935	1
ENSMUSP00000033236	ENSMUSG00000030942	2
ENSMUSP00000095690	ENSMUSG00000030945	1
ENSMUSP00000033241	ENSMUSG00000030946	48
ENSMUSP00000078821	ENSMUSG00000030954	11
ENSMUSP00000033257	ENSMUSG00000030960	17
ENSMUSP00000033263	ENSMUSG00000030963	22
ENSMUSP00000081541	ENSMUSG00000030965	5
ENSMUSP00000033264	ENSMUSG00000030966	39
ENSMUSP00000101763	ENSMUSG00000030967	4
ENSMUSP00000033267	ENSMUSG00000030968	3
ENSMUSP00000033269	ENSMUSG00000030970	87
ENSMUSP00000063416	ENSMUSG00000030972	1
ENSMUSP00000033275	ENSMUSG00000030976	7
ENSMUSP00000033283	ENSMUSG00000030978	140
ENSMUSP00000101751	ENSMUSG00000030979	20
ENSMUSP00000033277	ENSMUSG00000030980	3
ENSMUSP00000033278	ENSMUSG00000030981	2
ENSMUSP00000033282	ENSMUSG00000030983	12
ENSMUSP00000066067	ENSMUSG00000030986	1
ENSMUSP00000033289	ENSMUSG00000030987	27
ENSMUSP00000102537	ENSMUSG00000030990	2
ENSMUSP00000091539	ENSMUSG00000030994	23
ENSMUSP00000033300	ENSMUSG00000030996	31
ENSMUSP00000033310	ENSMUSG00000031004	115
ENSMUSP00000033313	ENSMUSG00000031007	41
ENSMUSP00000111126	ENSMUSG00000031010	58
ENSMUSP00000112322	ENSMUSG00000031012	51
ENSMUSP00000033325	ENSMUSG00000031015	19
ENSMUSP00000033326	ENSMUSG00000031016	51
ENSMUSP00000033333	ENSMUSG00000031021	3
ENSMUSP00000033335	ENSMUSG00000031023	3
ENSMUSP00000077067	ENSMUSG00000031024	11
ENSMUSP00000102352	ENSMUSG00000031026	3
ENSMUSP00000102356	ENSMUSG00000031027	7
ENSMUSP00000033341	ENSMUSG00000031028	31
ENSMUSP00000033342	ENSMUSG00000031029	58
ENSMUSP00000112320	ENSMUSG00000031059	135
ENSMUSP00000068188	ENSMUSG00000031060	13
ENSMUSP00000033380	ENSMUSG00000031065	24
ENSMUSP00000033383	ENSMUSG00000031066	2
ENSMUSP00000066621	ENSMUSG00000031068	37
ENSMUSP00000033386	ENSMUSG00000031070	7
ENSMUSP00000101515	ENSMUSG00000031072	6
ENSMUSP00000033389	ENSMUSG00000031073	64
ENSMUSP00000033392	ENSMUSG00000031074	85
ENSMUSP00000112616	ENSMUSG00000031075	5
ENSMUSP00000033394	ENSMUSG00000031077	96
ENSMUSP00000099368	ENSMUSG00000031078	68
ENSMUSP00000033414	ENSMUSG00000031089	5
ENSMUSP00000033415	ENSMUSG00000031090	10
ENSMUSP00000033419	ENSMUSG00000031093	5
ENSMUSP00000110771	ENSMUSG00000031095	19
ENSMUSP00000033422	ENSMUSG00000031097	60
ENSMUSP00000112689	ENSMUSG00000031098	1
ENSMUSP00000099138	ENSMUSG00000031099	22
ENSMUSP00000033427	ENSMUSG00000031101	3
ENSMUSP00000033429	ENSMUSG00000031103	77
ENSMUSP00000033430	ENSMUSG00000031104	5
ENSMUSP00000110588	ENSMUSG00000031105	6
ENSMUSP00000033433	ENSMUSG00000031107	5
ENSMUSP00000033437	ENSMUSG00000031109	3
ENSMUSP00000033442	ENSMUSG00000031111	4
ENSMUSP00000033444	ENSMUSG00000031112	10
ENSMUSP00000110510	ENSMUSG00000031119	8
ENSMUSP00000110458	ENSMUSG00000031125	36
ENSMUSP00000033463	ENSMUSG00000031129	23
ENSMUSP00000033464	ENSMUSG00000031130	15
ENSMUSP00000110394	ENSMUSG00000031131	5
ENSMUSP00000033466	ENSMUSG00000031132	89
ENSMUSP00000033468	ENSMUSG00000031133	40
ENSMUSP00000048153	ENSMUSG00000031134	70
ENSMUSP00000033473	ENSMUSG00000031137	31
ENSMUSP00000033477	ENSMUSG00000031138	39
ENSMUSP00000067075	ENSMUSG00000031139	76
ENSMUSP00000111391	ENSMUSG00000031142	33
ENSMUSP00000112337	ENSMUSG00000031144	91
ENSMUSP00000033485	ENSMUSG00000031145	4
ENSMUSP00000033486	ENSMUSG00000031146	4
ENSMUSP00000111339	ENSMUSG00000031153	3
ENSMUSP00000111331	ENSMUSG00000031154	4
ENSMUSP00000033495	ENSMUSG00000031155	19
ENSMUSP00000111327	ENSMUSG00000031156	39
ENSMUSP00000111318	ENSMUSG00000031157	11
ENSMUSP00000111315	ENSMUSG00000031158	3
ENSMUSP00000033500	ENSMUSG00000031160	28
ENSMUSP00000033501	ENSMUSG00000031161	51
ENSMUSP00000033502	ENSMUSG00000031162	111
ENSMUSP00000033503	ENSMUSG00000031163	5
ENSMUSP00000033505	ENSMUSG00000031165	43
ENSMUSP00000038964	ENSMUSG00000031167	32
ENSMUSP00000033509	ENSMUSG00000031168	26
ENSMUSP00000076790	ENSMUSG00000031169	31
ENSMUSP00000033512	ENSMUSG00000031170	14
ENSMUSP00000033513	ENSMUSG00000031171	36
ENSMUSP00000056152	ENSMUSG00000031173	77
ENSMUSP00000037358	ENSMUSG00000031174	48
ENSMUSP00000033519	ENSMUSG00000031176	3
ENSMUSP00000033525	ENSMUSG00000031182	11
ENSMUSP00000033532	ENSMUSG00000031189	23
ENSMUSP00000033539	ENSMUSG00000031196	64
ENSMUSP00000033540	ENSMUSG00000031197	238
ENSMUSP00000033542	ENSMUSG00000031200	24
ENSMUSP00000109708	ENSMUSG00000031201	22
ENSMUSP00000033545	ENSMUSG00000031202	1
ENSMUSP00000033549	ENSMUSG00000031204	1
ENSMUSP00000113071	ENSMUSG00000031207	60
ENSMUSP00000109469	ENSMUSG00000031209	24
ENSMUSP00000033554	ENSMUSG00000031210	4
ENSMUSP00000109457	ENSMUSG00000031214	42
ENSMUSP00000044491	ENSMUSG00000031216	29
ENSMUSP00000050716	ENSMUSG00000031217	59
ENSMUSP00000033567	ENSMUSG00000031220	41
ENSMUSP00000033570	ENSMUSG00000031221	58
ENSMUSP00000033575	ENSMUSG00000031224	1
ENSMUSP00000033577	ENSMUSG00000031226	16
ENSMUSP00000094078	ENSMUSG00000031227	11
ENSMUSP00000109203	ENSMUSG00000031229	56
ENSMUSP00000033581	ENSMUSG00000031230	20
ENSMUSP00000033582	ENSMUSG00000031231	14
ENSMUSP00000120994	ENSMUSG00000031232	2
ENSMUSP00000033585	ENSMUSG00000031233	56
ENSMUSP00000033591	ENSMUSG00000031239	13
ENSMUSP00000112544	ENSMUSG00000031241	19
ENSMUSP00000113588	ENSMUSG00000031242	28
ENSMUSP00000033598	ENSMUSG00000031246	25
ENSMUSP00000033602	ENSMUSG00000031250	19
ENSMUSP00000033606	ENSMUSG00000031253	17
ENSMUSP00000033608	ENSMUSG00000031255	24
ENSMUSP00000033609	ENSMUSG00000031256	92
ENSMUSP00000033610	ENSMUSG00000031257	39
ENSMUSP00000079851	ENSMUSG00000031262	84
ENSMUSP00000033617	ENSMUSG00000031264	79
ENSMUSP00000033621	ENSMUSG00000031266	49
ENSMUSP00000033626	ENSMUSG00000031271	1
ENSMUSP00000098765	ENSMUSG00000031273	41
ENSMUSP00000108552	ENSMUSG00000031274	17
ENSMUSP00000033634	ENSMUSG00000031278	27
ENSMUSP00000108499	ENSMUSG00000031283	18
ENSMUSP00000108484	ENSMUSG00000031284	47
ENSMUSP00000033642	ENSMUSG00000031285	54
ENSMUSP00000033643	ENSMUSG00000031286	4
ENSMUSP00000108446	ENSMUSG00000031289	33
ENSMUSP00000084342	ENSMUSG00000031292	28
ENSMUSP00000033650	ENSMUSG00000031293	37
ENSMUSP00000107996	ENSMUSG00000031295	22
ENSMUSP00000109339	ENSMUSG00000031297	11
ENSMUSP00000108027	ENSMUSG00000031298	15
ENSMUSP00000033662	ENSMUSG00000031299	68
ENSMUSP00000123283	ENSMUSG00000031302	37
ENSMUSP00000112905	ENSMUSG00000031304	75
ENSMUSP00000033671	ENSMUSG00000031309	54
ENSMUSP00000068197	ENSMUSG00000031310	3
ENSMUSP00000033673	ENSMUSG00000031311	34
ENSMUSP00000033674	ENSMUSG00000031312	7
ENSMUSP00000098895	ENSMUSG00000031314	76
ENSMUSP00000071658	ENSMUSG00000031320	69
ENSMUSP00000033683	ENSMUSG00000031320	120
ENSMUSP00000053866	ENSMUSG00000031325	15
ENSMUSP00000033689	ENSMUSG00000031326	21
ENSMUSP00000033690	ENSMUSG00000031327	3
ENSMUSP00000033699	ENSMUSG00000031328	81
ENSMUSP00000033691	ENSMUSG00000031329	23
ENSMUSP00000033692	ENSMUSG00000031330	2
ENSMUSP00000033695	ENSMUSG00000031333	8
ENSMUSP00000099041	ENSMUSG00000031337	27
ENSMUSP00000066543	ENSMUSG00000031340	13
ENSMUSP00000107848	ENSMUSG00000031342	33
ENSMUSP00000110201	ENSMUSG00000031343	28
ENSMUSP00000110198	ENSMUSG00000031347	69
ENSMUSP00000033715	ENSMUSG00000031349	134
ENSMUSP00000110193	ENSMUSG00000031351	19
ENSMUSP00000107743	ENSMUSG00000031352	25
ENSMUSP00000033720	ENSMUSG00000031353	106
ENSMUSP00000065966	ENSMUSG00000031354	48
ENSMUSP00000033721	ENSMUSG00000031355	24
ENSMUSP00000033723	ENSMUSG00000031357	8
ENSMUSP00000033725	ENSMUSG00000031358	7
ENSMUSP00000107922	ENSMUSG00000031360	54
ENSMUSP00000033730	ENSMUSG00000031364	29
ENSMUSP00000033731	ENSMUSG00000031365	3
ENSMUSP00000107913	ENSMUSG00000031367	14
ENSMUSP00000107908	ENSMUSG00000031370	1
ENSMUSP00000033737	ENSMUSG00000031371	8
ENSMUSP00000033738	ENSMUSG00000031372	9
ENSMUSP00000033739	ENSMUSG00000031373	10
ENSMUSP00000112284	ENSMUSG00000031375	78
ENSMUSP00000085775	ENSMUSG00000031376	4
ENSMUSP00000107884	ENSMUSG00000031377	13
ENSMUSP00000002084	ENSMUSG00000031378	19
ENSMUSP00000033749	ENSMUSG00000031379	5
ENSMUSP00000033751	ENSMUSG00000031380	55
ENSMUSP00000107874	ENSMUSG00000031381	24
ENSMUSP00000044637	ENSMUSG00000031382	1
ENSMUSP00000019701	ENSMUSG00000031383	11
ENSMUSP00000033756	ENSMUSG00000031384	1
ENSMUSP00000002079	ENSMUSG00000031385	32
ENSMUSP00000110012	ENSMUSG00000031386	42
ENSMUSP00000112277	ENSMUSG00000031387	16
ENSMUSP00000033763	ENSMUSG00000031388	6
ENSMUSP00000110047	ENSMUSG00000031389	24
ENSMUSP00000033765	ENSMUSG00000031390	46
ENSMUSP00000099935	ENSMUSG00000031391	82
ENSMUSP00000033769	ENSMUSG00000031392	92
ENSMUSP00000033770	ENSMUSG00000031393	91
ENSMUSP00000099000	ENSMUSG00000031394	16
ENSMUSP00000010127	ENSMUSG00000031397	61
ENSMUSP00000004326	ENSMUSG00000031398	46
ENSMUSP00000113269	ENSMUSG00000031400	11
ENSMUSP00000004327	ENSMUSG00000031400	12
ENSMUSP00000033775	ENSMUSG00000031402	11
ENSMUSP00000033776	ENSMUSG00000031403	225
ENSMUSP00000108788	ENSMUSG00000031410	4
ENSMUSP00000108722	ENSMUSG00000031422	29
ENSMUSP00000071994	ENSMUSG00000031424	1
ENSMUSP00000033800	ENSMUSG00000031425	51
ENSMUSP00000033805	ENSMUSG00000031429	43
ENSMUSP00000033806	ENSMUSG00000031430	2
ENSMUSP00000108620	ENSMUSG00000031431	35
ENSMUSP00000026839	ENSMUSG00000031432	25
ENSMUSP00000093390	ENSMUSG00000031432	17
ENSMUSP00000108649	ENSMUSG00000031438	40
ENSMUSP00000088779	ENSMUSG00000031441	6
ENSMUSP00000106500	ENSMUSG00000031442	49
ENSMUSP00000033820	ENSMUSG00000031443	21
ENSMUSP00000033821	ENSMUSG00000031444	21
ENSMUSP00000033822	ENSMUSG00000031445	11
ENSMUSP00000016680	ENSMUSG00000031446	39
ENSMUSP00000106471	ENSMUSG00000031447	72
ENSMUSP00000033825	ENSMUSG00000031448	1
ENSMUSP00000033826	ENSMUSG00000031449	11
ENSMUSP00000033827	ENSMUSG00000031450	48
ENSMUSP00000033828	ENSMUSG00000031451	55
ENSMUSP00000033833	ENSMUSG00000031453	9
ENSMUSP00000033839	ENSMUSG00000031458	3
ENSMUSP00000033842	ENSMUSG00000031461	21
ENSMUSP00000033846	ENSMUSG00000031465	47
ENSMUSP00000117025	ENSMUSG00000031467	4
ENSMUSP00000033854	ENSMUSG00000031471	4
ENSMUSP00000106358	ENSMUSG00000031478	9
ENSMUSP00000033866	ENSMUSG00000031479	10
ENSMUSP00000076435	ENSMUSG00000031481	2
ENSMUSP00000033871	ENSMUSG00000031482	2
ENSMUSP00000033873	ENSMUSG00000031483	1
ENSMUSP00000033875	ENSMUSG00000031485	43
ENSMUSP00000033876	ENSMUSG00000031486	11
ENSMUSP00000033877	ENSMUSG00000031487	24
ENSMUSP00000058042	ENSMUSG00000031488	11
ENSMUSP00000113732	ENSMUSG00000031489	28
ENSMUSP00000033880	ENSMUSG00000031490	76
ENSMUSP00000033882	ENSMUSG00000031491	23
ENSMUSP00000052297	ENSMUSG00000031492	14
ENSMUSP00000096209	ENSMUSG00000031493	27
ENSMUSP00000012847	ENSMUSG00000031494	20
ENSMUSP00000011445	ENSMUSG00000031495	2
ENSMUSP00000033892	ENSMUSG00000031497	72
ENSMUSP00000033898	ENSMUSG00000031502	72
ENSMUSP00000033899	ENSMUSG00000031503	69
ENSMUSP00000033900	ENSMUSG00000031504	5
ENSMUSP00000033901	ENSMUSG00000031505	7
ENSMUSP00000045803	ENSMUSG00000031506	19
ENSMUSP00000106539	ENSMUSG00000031511	43
ENSMUSP00000033910	ENSMUSG00000031513	3
ENSMUSP00000113716	ENSMUSG00000031516	22
ENSMUSP00000033915	ENSMUSG00000031517	25
ENSMUSP00000033917	ENSMUSG00000031518	1
ENSMUSP00000033918	ENSMUSG00000031519	33
ENSMUSP00000033919	ENSMUSG00000031520	74
ENSMUSP00000033920	ENSMUSG00000031521	13
ENSMUSP00000096425	ENSMUSG00000031523	40
ENSMUSP00000033927	ENSMUSG00000031527	9
ENSMUSP00000033929	ENSMUSG00000031529	12
ENSMUSP00000033930	ENSMUSG00000031530	27
ENSMUSP00000033933	ENSMUSG00000031532	4
ENSMUSP00000033934	ENSMUSG00000031533	2
ENSMUSP00000033936	ENSMUSG00000031535	59
ENSMUSP00000033938	ENSMUSG00000031536	47
ENSMUSP00000033939	ENSMUSG00000031537	95
ENSMUSP00000033941	ENSMUSG00000031538	46
ENSMUSP00000060342	ENSMUSG00000031539	8
ENSMUSP00000038181	ENSMUSG00000031540	39
ENSMUSP00000113571	ENSMUSG00000031543	26
ENSMUSP00000033949	ENSMUSG00000031545	17
ENSMUSP00000033950	ENSMUSG00000031546	19
ENSMUSP00000033952	ENSMUSG00000031548	95
ENSMUSP00000113979	ENSMUSG00000031549	20
ENSMUSP00000033956	ENSMUSG00000031551	60
ENSMUSP00000033958	ENSMUSG00000031553	8
ENSMUSP00000052661	ENSMUSG00000031554	2
ENSMUSP00000081048	ENSMUSG00000031555	32
ENSMUSP00000066546	ENSMUSG00000031557	5
ENSMUSP00000033967	ENSMUSG00000031558	31
ENSMUSP00000033965	ENSMUSG00000031561	2
ENSMUSP00000033966	ENSMUSG00000031562	46
ENSMUSP00000081041	ENSMUSG00000031565	117
ENSMUSP00000033979	ENSMUSG00000031574	46
ENSMUSP00000070957	ENSMUSG00000031575	32
ENSMUSP00000096457	ENSMUSG00000031576	7
ENSMUSP00000033982	ENSMUSG00000031577	1
ENSMUSP00000033983	ENSMUSG00000031578	83
ENSMUSP00000033990	ENSMUSG00000031583	68
ENSMUSP00000033992	ENSMUSG00000031584	83
ENSMUSP00000033993	ENSMUSG00000031585	61
ENSMUSP00000033995	ENSMUSG00000031586	23
ENSMUSP00000033999	ENSMUSG00000031590	18
ENSMUSP00000034000	ENSMUSG00000031591	36
ENSMUSP00000039056	ENSMUSG00000031592	65
ENSMUSP00000034004	ENSMUSG00000031595	7
ENSMUSP00000112848	ENSMUSG00000031596	5
ENSMUSP00000096415	ENSMUSG00000031600	2
ENSMUSP00000117304	ENSMUSG00000031601	17
ENSMUSP00000034014	ENSMUSG00000031603	77
ENSMUSP00000034015	ENSMUSG00000031604	26
ENSMUSP00000034017	ENSMUSG00000031605	3
ENSMUSP00000105945	ENSMUSG00000031608	9
ENSMUSP00000034022	ENSMUSG00000031609	47
ENSMUSP00000034023	ENSMUSG00000031610	10
ENSMUSP00000034026	ENSMUSG00000031613	21
ENSMUSP00000034029	ENSMUSG00000031616	31
ENSMUSP00000034031	ENSMUSG00000031618	81
ENSMUSP00000034034	ENSMUSG00000031621	9
ENSMUSP00000004494	ENSMUSG00000031622	56
ENSMUSP00000114286	ENSMUSG00000031626	6
ENSMUSP00000034041	ENSMUSG00000031627	28
ENSMUSP00000091238	ENSMUSG00000031628	177
ENSMUSP00000034045	ENSMUSG00000031629	82
ENSMUSP00000034049	ENSMUSG00000031633	36
ENSMUSP00000034051	ENSMUSG00000031634	6
ENSMUSP00000034052	ENSMUSG00000031635	8
ENSMUSP00000034053	ENSMUSG00000031636	17
ENSMUSP00000034056	ENSMUSG00000031639	121
ENSMUSP00000026907	ENSMUSG00000031640	31
ENSMUSP00000034058	ENSMUSG00000031641	15
ENSMUSP00000034060	ENSMUSG00000031642	24
ENSMUSP00000043893	ENSMUSG00000031644	25
ENSMUSP00000034064	ENSMUSG00000031645	59
ENSMUSP00000034066	ENSMUSG00000031647	1
ENSMUSP00000050267	ENSMUSG00000031651	3
ENSMUSP00000079657	ENSMUSG00000031652	4
ENSMUSP00000034076	ENSMUSG00000031654	14
ENSMUSP00000096122	ENSMUSG00000031659	85
ENSMUSP00000034085	ENSMUSG00000031660	24
ENSMUSP00000034086	ENSMUSG00000031661	64
ENSMUSP00000034087	ENSMUSG00000031662	1
ENSMUSP00000034090	ENSMUSG00000031665	42
ENSMUSP00000034091	ENSMUSG00000031666	176
ENSMUSP00000113769	ENSMUSG00000031667	21
ENSMUSP00000034093	ENSMUSG00000031668	44
ENSMUSP00000034094	ENSMUSG00000031669	8
ENSMUSP00000034097	ENSMUSG00000031672	108
ENSMUSP00000074681	ENSMUSG00000031673	41
ENSMUSP00000071035	ENSMUSG00000031681	257
ENSMUSP00000034109	ENSMUSG00000031682	5
ENSMUSP00000073010	ENSMUSG00000031683	4
ENSMUSP00000049722	ENSMUSG00000031683	19
ENSMUSP00000034111	ENSMUSG00000031684	8
ENSMUSP00000034115	ENSMUSG00000031688	25
ENSMUSP00000091051	ENSMUSG00000031691	14
ENSMUSP00000034131	ENSMUSG00000031696	35
