protein	locus	connectivity
ENSMUSP00000001179	ENSMUSG00000001151	86
ENSMUSP00000001183	ENSMUSG00000001155	32
ENSMUSP00000001184	ENSMUSG00000001156	48
ENSMUSP00000001185	ENSMUSG00000001157	3
ENSMUSP00000109313	ENSMUSG00000001158	3
ENSMUSP00000001202	ENSMUSG00000001173	66
ENSMUSP00000001204	ENSMUSG00000001175	174
ENSMUSP00000101029	ENSMUSG00000001211	26
ENSMUSP00000001254	ENSMUSG00000001225	33
ENSMUSP00000001256	ENSMUSG00000001227	28
ENSMUSP00000108662	ENSMUSG00000001228	99
ENSMUSP00000046604	ENSMUSG00000001229	6
ENSMUSP00000122072	ENSMUSG00000001240	14
ENSMUSP00000103750	ENSMUSG00000001247	13
ENSMUSP00000038149	ENSMUSG00000001249	23
ENSMUSP00000031119	ENSMUSG00000001260	15
ENSMUSP00000001304	ENSMUSG00000001270	12
ENSMUSP00000001326	ENSMUSG00000001280	222
ENSMUSP00000001327	ENSMUSG00000001281	112
ENSMUSP00000001331	ENSMUSG00000001285	67
ENSMUSP00000048838	ENSMUSG00000001288	218
ENSMUSP00000001335	ENSMUSG00000001289	72
ENSMUSP00000096546	ENSMUSG00000001300	58
ENSMUSP00000001339	ENSMUSG00000001305	12
ENSMUSP00000001347	ENSMUSG00000001313	11
ENSMUSP00000090586	ENSMUSG00000001323	26
ENSMUSP00000099659	ENSMUSG00000001333	10
ENSMUSP00000099660	ENSMUSG00000001334	29
ENSMUSP00000065425	ENSMUSG00000001348	31
ENSMUSP00000001384	ENSMUSG00000001349	24
ENSMUSP00000001402	ENSMUSG00000001366	23
ENSMUSP00000001412	ENSMUSG00000001376	1
ENSMUSP00000001415	ENSMUSG00000001379	10
ENSMUSP00000001416	ENSMUSG00000001380	11
ENSMUSP00000001419	ENSMUSG00000001383	3
ENSMUSP00000085581	ENSMUSG00000001403	70
ENSMUSP00000001451	ENSMUSG00000001415	11
ENSMUSP00000001452	ENSMUSG00000001416	57
ENSMUSP00000001453	ENSMUSG00000001417	4
ENSMUSP00000001454	ENSMUSG00000001418	14
ENSMUSP00000103184	ENSMUSG00000001419	46
ENSMUSP00000001460	ENSMUSG00000001424	16
ENSMUSP00000072538	ENSMUSG00000001435	35
ENSMUSP00000101050	ENSMUSG00000001436	8
ENSMUSP00000001479	ENSMUSG00000001440	72
ENSMUSP00000001480	ENSMUSG00000001441	13
