Ensembl Gene ID	UCSC ID
ENSMUSG00000097908	uc009abe.2
ENSMUSG00000062518	uc012dpe.2
ENSMUSG00000021549	
ENSMUSG00000097908	uc009abd.2
ENSMUSG00000060397	uc012ezc.1
ENSMUSG00000021062	uc007nyt.2
ENSMUSG00000061833	
ENSMUSG00000021549	
ENSMUSG00000021062	uc007nyt.2
ENSMUSG00000021549	
ENSMUSG00000060397	uc009fek.2
ENSMUSG00000021549	
ENSMUSG00000021062	uc007nyt.2
ENSMUSG00000021549	
ENSMUSG00000021062	uc007nyt.2
ENSMUSG00000090386	uc007zsd.1
ENSMUSG00000021549	
ENSMUSG00000082090	
ENSMUSG00000021062	uc007nyt.2
ENSMUSG00000021549	
ENSMUSG00000021062	
ENSMUSG00000021549	
ENSMUSG00000097559	
ENSMUSG00000021062	
ENSMUSG00000027709	uc008oyy.3
ENSMUSG00000100737	
ENSMUSG00000073960	uc009itb.1
ENSMUSG00000102275	
ENSMUSG00000068814	uc008kos.1
ENSMUSG00000100239	
ENSMUSG00000025410	uc007hiu.2
ENSMUSG00000097287	
ENSMUSG00000029650	uc009aom.1
ENSMUSG00000097287	uc009akr.1
ENSMUSG00000047228	uc009eeh.2
ENSMUSG00000029650	uc009aol.1
ENSMUSG00000029650	
ENSMUSG00000029650	
ENSMUSG00000036256	uc012dxr.1
ENSMUSG00000036256	uc008xwf.2
ENSMUSG00000097228	
ENSMUSG00000100714	uc029xij.1
ENSMUSG00000100714	uc009srk.2
ENSMUSG00000090386	uc007zse.1
ENSMUSG00000020387	uc007iuq.1
ENSMUSG00000090386	uc007zse.1
ENSMUSG00000043911	uc009oxe.2
ENSMUSG00000020387	uc007iuq.1
ENSMUSG00000090386	uc007zsi.2
ENSMUSG00000024767	uc008gki.1
ENSMUSG00000090386	
ENSMUSG00000085593	uc008vyo.1
ENSMUSG00000020387	
ENSMUSG00000071984	uc008aio.1
ENSMUSG00000024767	uc008gki.1
ENSMUSG00000020387	uc007iuq.1
ENSMUSG00000090386	uc007zsg.2
ENSMUSG00000071984	
ENSMUSG00000015342	uc009spq.1
ENSMUSG00000025574	uc007mnz.2
ENSMUSG00000071984	
ENSMUSG00000024767	
ENSMUSG00000090386	uc007zsh.2
ENSMUSG00000085534	
ENSMUSG00000071984	
ENSMUSG00000024767	uc008gki.1
ENSMUSG00000025574	
ENSMUSG00000090386	uc007zsf.2
ENSMUSG00000085534	
ENSMUSG00000085534	
ENSMUSG00000071984	
ENSMUSG00000024767	
ENSMUSG00000025574	
ENSMUSG00000085534	uc009svv.1
ENSMUSG00000036934	uc009mpv.2
