geneId	anatEntityId
ENSDARG00000000906	ZFA:0001093
ENSDARG00000000935	ZFA:0001093
ENSDARG00000000943	UBERON:0000468
ENSDARG00000000943	ZFA:0001093
ENSDARG00000000966	UBERON:0000468
ENSDARG00000000966	UBERON:0000955
ENSDARG00000000966	UBERON:0000966
ENSDARG00000000966	UBERON:0001017
ENSDARG00000000966	UBERON:0001791
ENSDARG00000000966	UBERON:0001792
ENSDARG00000000966	UBERON:0001892
ENSDARG00000000966	UBERON:0002028
ENSDARG00000000966	UBERON:0002328
ENSDARG00000000966	UBERON:0002329
ENSDARG00000000966	UBERON:0002370
ENSDARG00000000966	UBERON:0010312
ENSDARG00000000966	UBERON:2000004
ENSDARG00000000966	UBERON:2001073
ENSDARG00000001057	UBERON:0000966
ENSDARG00000001057	UBERON:0001890
ENSDARG00000001057	UBERON:0001891
ENSDARG00000001057	UBERON:0001945
ENSDARG00000001057	UBERON:0002329
ENSDARG00000001057	UBERON:0003053
ENSDARG00000001057	UBERON:0003059
ENSDARG00000001057	UBERON:0003075
ENSDARG00000001057	UBERON:0003082
ENSDARG00000001057	UBERON:0005419
ENSDARG00000001057	UBERON:0005886
ENSDARG00000001057	UBERON:0007269
ENSDARG00000001057	UBERON:0010312
ENSDARG00000001057	UBERON:2001357
ENSDARG00000001057	ZFA:0001093
ENSDARG00000001127	CL:0005000
ENSDARG00000001127	UBERON:0000955
ENSDARG00000001127	UBERON:0001898
ENSDARG00000001127	UBERON:0002240
ENSDARG00000001162	UBERON:0000468
ENSDARG00000001210	UBERON:0000468
ENSDARG00000001220	UBERON:0000955
ENSDARG00000001220	UBERON:0000966
ENSDARG00000001241	UBERON:0000019
ENSDARG00000001241	UBERON:0000151
ENSDARG00000001241	UBERON:0000949
ENSDARG00000001241	UBERON:0000955
ENSDARG00000001241	UBERON:0001017
ENSDARG00000001241	UBERON:0001042
ENSDARG00000001241	UBERON:0002329
ENSDARG00000001241	ZFA:0001093
ENSDARG00000001244	ZFA:0001093
ENSDARG00000001313	UBERON:0000966
ENSDARG00000001313	UBERON:0001017
ENSDARG00000001313	UBERON:0003053
ENSDARG00000001313	UBERON:0005886
ENSDARG00000001313	UBERON:0007269
ENSDARG00000001313	UBERON:2000098
ENSDARG00000001313	ZFA:0001093
ENSDARG00000001431	UBERON:0001601
ENSDARG00000001431	UBERON:0001774
ENSDARG00000001431	UBERON:0002329
ENSDARG00000001431	UBERON:0003059
ENSDARG00000001431	UBERON:0007812
ENSDARG00000001431	UBERON:0008896
ENSDARG00000001431	UBERON:0011683
ENSDARG00000001431	UBERON:0014892
ENSDARG00000001431	UBERON:2000384
ENSDARG00000001431	UBERON:2000465
ENSDARG00000001431	UBERON:2000608
ENSDARG00000001431	UBERON:2000715
ENSDARG00000001431	UBERON:2002200
ENSDARG00000001431	UBERON:2007008
ENSDARG00000001431	UBERON:2007048
ENSDARG00000001431	UBERON:2007052
ENSDARG00000001437	UBERON:0000033
ENSDARG00000001437	UBERON:0000468
ENSDARG00000001437	UBERON:0001017
ENSDARG00000001437	UBERON:0002289
ENSDARG00000001437	UBERON:0002422
ENSDARG00000001437	UBERON:0003060
ENSDARG00000001437	ZFA:0001093
ENSDARG00000001452	UBERON:0000926
ENSDARG00000001452	UBERON:0001049
ENSDARG00000001452	UBERON:0002533
ENSDARG00000001452	UBERON:0003105
ENSDARG00000001452	UBERON:0004535
ENSDARG00000001452	UBERON:2000033
ENSDARG00000001452	UBERON:2000084
ENSDARG00000001452	UBERON:2001073
ENSDARG00000001452	ZFA:0001093
ENSDARG00000001557	UBERON:0000966
ENSDARG00000001557	UBERON:0001945
ENSDARG00000001557	UBERON:0003082
ENSDARG00000001557	UBERON:0004128
ENSDARG00000001557	UBERON:2001357
ENSDARG00000001557	ZFA:0001093
